Size (kb),real,user,sys
0,0.201,0.016,0.017
1,0.169,0.019,0.019
2,2.499,0.021,0.015
4,0.165,0.027,0.008
8,2.152,0.018,0.021
16,0.16,0.026,0.011
32,0.162,0.025,0.012
64,0.157,0.017,0.017
128,0.162,0.022,0.012
256,0.17,0.028,0.016
512,0.18,0.028,0.018
1024,0.158,0.025,0.017
2048,0.209,0.037,0.022
4096,0.889,0.033,0.032
8192,0.33,0.053,0.043
16384,0.509,0.075,0.052
32768,2.09,0.11,0.079
65536,1.403,0.198,0.113
131072,7.043,0.377,0.219
262144,7.559,0.72,0.418
524288,11.114,1.456,0.952
1048576,20.6,2.823,1.569
